B0A0+1 啊 ⿰口⿰阝可
B0A0+2 阿 ⿰阝⿹丁口
B0A0+3 埃 ⿰⿱十一⿱厶矢
B0A0+4 挨 ⿰扌⿱厶矢
B0A0+5 哎 ⿰口⿱艹乂
B0A0+6 唉 ⿰口⿱厶矢
B0A0+7 哀 ⿳⿱丶一口𧘇
B0A0+8 皑 ⿰白⿱山己
B0A0+9 癌 ⿸疒嵒
B0A0+A 蔼 ⿱⿻十丨⿰讠曷
B0A0+B 矮 ⿰⿱𠂉大⿱禾女
B0A0+C 艾 ⿱⿻十丨乂
B0A0+D 碍 ⿰⿸丆口㝵
B0A0+E 爱 ⿱⿱爫冖⿸𠂇又
B0A0+F 隘 ⿰阝⿱⿱䒑八皿
B0B0+0 鞍 ⿰革⿱宀女
B0B0+1 氨 ⿹⿳𠂉一乁⿱宀女
B0B0+2 安 ⿱宀女
B0B0+3 俺 ⿰亻⿱大电
B0B0+4 按 ⿰扌⿱宀女
B0B0+5 暗 ⿰日⿱立日
B0B0+6 岸 ⿱山厈
B0B0+7 胺 ⿰月⿱宀女
B0B0+8 案 ⿱⿱宀女木
B0B0+9 肮 ⿰月⿱亠几
B0B0+A 昂 ⿱日卬
B0B0+B 盎 ⿱央皿
B0B0+C 凹 凹
B0B0+D 敖 ⿰𫠤攵
B0B0+E 熬 ⿱⿰𫠤攵灬
B0B0+F 翱 ⿰⿱白夲⿰习习
B0C0+0 袄 ⿰衤⿱丿大
B0C0+1 傲 ⿰亻⿰𫠤攵
B0C0+2 奥 ⿱⿵⿱丿冂米⿻一人
B0C0+3 懊 ⿰忄⿱⿵⿱丿冂米大
B0C0+4 澳 ⿰氵⿱⿵⿱丿冂米大
B0C0+5 芭 ⿱⿻十丨巴
B0C0+6 捌 ⿰扌⿰另刂
B0C0+7 扒 ⿰扌八
B0C0+8 叭 ⿰口八
B0C0+9 吧 ⿰口巴
B0C0+A 笆 ⿱⿰亇亇巴
B0C0+B 八 八
B0C0+C 疤 ⿸疒巴
B0C0+D 巴 巴
B0C0+E 拔 ⿰扌犮
B0C0+F 跋 ⿰𧾷犮
B0D0+0 靶 ⿰革巴
B0D0+1 把 ⿰扌巴
B0D0+2 耙 ⿰⿻一未巴
B0D0+3 坝 ⿰⿱十一贝
B0D0+4 霸 ⿱⿱一𠕒䩗
B0D0+5 罢 ⿱罒⿱土厶
B0D0+6 爸 ⿱⿱八乂巴
B0D0+7 白 白
B0D0+8 柏 ⿰木白
B0D0+9 百 ⿱一白
B0D0+A 摆 ⿰扌⿱罒去
B0D0+B 佰 ⿰亻⿱一白
B0D0+C 败 ⿰贝攵
B0D0+D 拜 ⿰龵⿱一⿻三丨
B0D0+E 稗 ⿰⿱丿木⿱⿻白丿十
B0D0+F 斑 ⿲⿱一土⿱亠乂⿱一土
B0E0+0 班 ⿲⿱一土②⿱一土
B0E0+1 搬 ⿰扌⿰舟殳
B0E0+2 扳 ⿰扌⿸𠂆又
B0E0+3 般 ⿰舟⿱𠘧又
B0E0+4 颁 ⿰⿱八刀页
B0E0+5 板 ⿰木⿸𠂆又
B0E0+6 版 ⿰片⿸𠂆又
B0E0+7 扮 ⿰扌⿱八刀
B0E0+8 拌 ⿰扌⿱丷⿻二丨
B0E0+9 伴 ⿰亻⿱丷⿻二丨
B0E0+A 瓣 ⿲⿱立十瓜⿱立十
B0E0+B 半 ⿱丷⿻⿱一一丨
B0E0+C 办 ⿻⿻丿𠃌八
B0E0+D 绊 ⿰纟⿱丷⿻二丨
B0E0+E 邦 ⿰⿻三丨阝
B0E0+F 帮 ⿱⿰丰阝巾
B0F0+0 梆 ⿰木⿰丰阝
B0F0+1 榜 ⿰木⿱⿱⿱亠丷冖方
B0F0+2 膀 ⿰月⿱⿱⿱亠丷冖方
B0F0+3 绑 ⿰纟⿰丰阝
B0F0+4 棒 ⿰木⿱𡗗⿻二丨
B0F0+5 磅 ⿰⿸丆口⿱⿱⿱亠丷冖方
B0F0+6 蚌 ⿰虫⿻三丨
B0F0+7 镑 ⿰钅⿱⿱⿱亠丷冖方
B0F0+8 傍 ⿰亻⿱⿱⿱亠丷冖方
B0F0+9 谤 ⿰讠⿱⿱⿱亠丷冖方
B0F0+A 苞 ⿱⿻十丨⿹勹巳
B0F0+B 胞 ⿰月⿹勹巳
B0F0+C 包 ⿹勹巳
B0F0+D 褒 ⿳⿱丶一⿰亻呆𧘇
B0F0+E 剥 ⿰⿱彐氺刂
B1A0+1 薄 ⿱⿻十丨⿰氵尃
B1A0+2 雹 ⿱⿱一𠕒⿹勹巳
B1A0+3 保 ⿰亻⿱口木
B1A0+4 堡 ⿱⿰亻呆⿱十一
B1A0+5 饱 ⿰饣⿹勹巳
B1A0+6 宝 ⿱宀⿷王丶
B1A0+7 抱 ⿰扌⿹勹巳
B1A0+8 报 ⿰扌𠬝
B1A0+9 暴 ⿱日㳟
B1A0+A 豹 ⿰豸⿹勹丶
B1A0+B 鲍 ⿰⿳𠂊田一⿹勹巳
B1A0+C 爆 ⿰⿱八人⿱日㳟
B1A0+D 杯 ⿰木⿱一③
B1A0+E 碑 ⿰⿸丆口⿱⿻白丿十
B1A0+F 悲 ⿱非心
B1B0+0 卑 ⿱⿻白丿十
B1B0+1 北 ⿰③⿺乚丿
B1B0+2 辈 ⿱非车
B1B0+3 背 ⿱⿰③匕月
B1B0+4 贝 贝
B1B0+5 钡 ⿰钅贝
B1B0+6 倍 ⿰亻咅
B1B0+7 狈 ⿰犭贝
B1B0+8 备 ⿱夂田
B1B0+9 惫 ⿱夂⿱田心
B1B0+A 焙 ⿰⿱八人咅
B1B0+B 被 ⿰衤皮
B1B0+C 奔 ⿱⿻一人⿱十廾
B1B0+D 苯 ⿱⿻十丨本
B1B0+E 本 本
B1B0+F 笨 ⿱⿰亇亇本
B1C0+0 崩 ⿱山⿰月月
B1C0+1 绷 ⿰纟⿰月月
B1C0+2 甭 ⿱⿱一③⿵冂⿻二丨
B1C0+3 泵 ⿱⿸丆口⿲㇇亅⿺乀丿
B1C0+4 蹦 ⿰𧾷⿱山朋
B1C0+5 迸 ⿺辶⿱丷开
B1C0+6 逼 ⿺辶畐
B1C0+7 鼻 ⿱自⿱田丌
B1C0+8 比 比
B1C0+9 鄙 ⿰啚阝
B1C0+A 笔 ⿱⿰亇亇⿱丿⿻二乚
B1C0+B 彼 ⿰彳皮
B1C0+C 碧 ⿱⿰王白⿸丆口
B1C0+D 蓖 ⿱⿻十丨𣬉
B1C0+E 蔽 ⿱⿻十丨⿰㡀攵
B1C0+F 毕 ⿱比十
B1D0+0 毙 ⿱比⿸歹匕
B1D0+1 毖 ⿱比⿻心丿
B1D0+2 币 ⿱丿巾
B1D0+3 庇 ⿸广比
B1D0+4 痹 ⿸疒⿱田丌
B1D0+5 闭 ⿵门才
B1D0+6 敝 ⿰㡀攵
B1D0+7 弊 ⿱⿰㡀攵⿻一⿰丿丨
B1D0+8 必 ⿻心丿
B1D0+9 辟 ⿰𡰪⿱立十
B1D0+A 壁 ⿱⿰𡰪辛⿱十一
B1D0+B 臂 ⿱⿰𡰪辛月
B1D0+C 避 ⿺辶⿰𡰪辛
B1D0+D 陛 ⿰阝坒
B1D0+E 鞭 ⿰革⿰亻更
B1D0+F 边 ⿺辶⿻丿𠃌
B1E0+0 编 ⿰纟⿸户𠕁
B1E0+1 贬 ⿰贝⿱丿之
B1E0+2 扁 ⿸⿱丶尸𠕁
B1E0+3 便 ⿰亻⿱一⿻日乂
B1E0+4 变 ⿱⿱亠④又
B1E0+5 卞 ⿱丶⿱一卜
B1E0+6 辨 ⿲⿱立十②⿱立十
B1E0+7 辩 ⿲⿱立十讠⿱立十
B1E0+8 辫 ⿲⿱立十纟⿱立十
B1E0+9 遍 ⿺辶⿸户𠕁
B1E0+A 标 ⿰木示
B1E0+B 彪 ⿺⿸虍几彡
B1E0+C 膘 ⿰月⿱覀示
B1E0+D 表 ⿱龶𧘇
B1E0+E 鳖 ⿱⿰㡀攵⿳𠂊田一
B1E0+F 憋 ⿱⿰㡀攵心
B1F0+0 别 ⿰⿱口力刂
B1F0+1 瘪 ⿸疒⿱自⿱人㔾
B1F0+2 彬 ⿰⿰木木彡
B1F0+3 斌 ⿰⿱亠乂⿹⿶弋一止
B1F0+4 濒 ⿰氵⿰步页
B1F0+5 滨 ⿰氵⿱宀兵
B1F0+6 宾 ⿱宀⿱丘八
B1F0+7 摈 ⿰扌⿱宀兵
B1F0+8 兵 ⿱丘八
B1F0+9 冰 ⿰冫⿲㇇亅⿺乀丿
B1F0+A 柄 ⿰木⿱一内
B1F0+B 丙 ⿱一⿻冂人
B1F0+C 秉 ⿻⿱丿木⿻コ一
B1F0+D 饼 ⿰饣⿱丷开
B1F0+E 炳 ⿰⿱八人⿱一内
B2A0+1 病 ⿸疒⿱一内
B2A0+2 并 ⿱丷⿱一廾
B2A0+3 玻 ⿰⿱一土皮
B2A0+4 菠 ⿱⿻十丨⿰氵皮
B2A0+5 播 ⿰扌⿱釆田
B2A0+6 拨 ⿰扌发
B2A0+7 钵 ⿰钅本
B2A0+8 波 ⿰氵皮
B2A0+9 博 ⿰十尃
B2A0+A 勃 ⿰⿱⿱十冖子⿻丿𠃌
B2A0+B 搏 ⿰扌尃
B2A0+C 铂 ⿰钅白
B2A0+D 箔 ⿱⿰亇亇⿰氵白
B2A0+E 伯 ⿰亻白
B2A0+F 帛 ⿱白巾
B2B0+0 舶 ⿰舟白
B2B0+1 脖 ⿰月⿱⿱十冖子
B2B0+2 膊 ⿰月尃
B2B0+3 渤 ⿰氵⿰孛力
B2B0+4 泊 ⿰氵白
B2B0+5 驳 ⿰⿹②一⿱㐅乂
B2B0+6 捕 ⿰扌⿺⿻十月丶
B2B0+7 卜 卜
B2B0+8 哺 ⿰口⿺⿻十月丶
B2B0+9 补 ⿰衤卜
B2B0+A 埠 ⿰⿱十一⿱𠂤十
B2B0+B 不 ⿱一③
B2B0+C 布 ⿸𠂇巾
B2B0+D 步 ⿱止𣥂
B2B0+E 簿 ⿱⿰亇亇⿰氵尃
B2B0+F 部 ⿰咅阝
B2C0+0 怖 ⿰忄⿸𠂇巾
B2C0+1 擦 ⿰扌⿱宀祭
B2C0+2 猜 ⿰犭⿱龶月
B2C0+3 裁 ⿹𢦏⿱亠𧘇
B2C0+4 材 ⿰木才
B2C0+5 才 才
B2C0+6 财 ⿰贝才
B2C0+7 睬 ⿰目⿱爫木
B2C0+8 踩 ⿰𧾷⿱爫木
B2C0+9 采 ⿱爫木
B2C0+A 彩 ⿰⿱爫木彡
B2C0+B 菜 ⿱⿻十丨⿱爫木
B2C0+C 蔡 ⿱⿻十丨⿱⿰⿴𠂊冫②示
B2C0+D 餐 ⿱𣦼⿱人良
B2C0+E 参 ⿳厶⿻一人彡
B2C0+F 蚕 ⿱⿱一大虫
B2D0+0 残 ⿰⿱一夕⿻戈一
B2D0+1 惭 ⿰忄⿰车斤
B2D0+2 惨 ⿰忄⿳厶大彡
B2D0+3 灿 ⿰⿱八人山
B2D0+4 苍 ⿱⿻十丨⿱人㔾
B2D0+5 舱 ⿰舟⿱人㔾
B2D0+6 仓 ⿱人㔾
B2D0+7 沧 ⿰氵⿱人㔾
B2D0+8 藏 ⿱⿻十丨⿵戕臣
B2D0+9 操 ⿰扌喿
B2D0+A 糙 ⿰米⿺辶告
B2D0+B 槽 ⿰木⿱⿻一曲日
B2D0+C 曹 ⿱⿻一曲日
B2D0+D 草 ⿱⿻十丨⿱日十
B2D0+E 厕 ⿸厂⿰贝刂
B2D0+F 策 ⿱⿰亇亇朿
B2E0+0 侧 ⿰亻⿰贝刂
B2E0+1 册 册
B2E0+2 测 ⿰氵⿰贝刂
B2E0+3 层 ⿸尸⿱二厶
B2E0+4 蹭 ⿰𧾷⿱丷𭥴
B2E0+5 插 ⿰扌臿
B2E0+6 叉 ⿴又丶
B2E0+7 茬 ⿱⿻十丨⿸③土
B2E0+8 茶 ⿳⿻十丨人朩
B2E0+9 查 ⿱木⿱日一
B2E0+A 碴 ⿰⿸丆口⿱木旦
B2E0+B 搽 ⿰扌⿳艹人朩
B2E0+C 察 ⿱宀⿱⿰⿴𠂊冫②示
B2E0+D 岔 ⿱⿱八刀山
B2E0+E 差 ⿸⿱䒑⿻二丨工
B2E0+F 诧 ⿰讠⿱宀乇
B2F0+0 拆 ⿰扌⿻斤丶
B2F0+1 柴 ⿱⿰止匕木
B2F0+2 豺 ⿰豸才
B2F0+3 搀 ⿰扌𫥎
B2F0+4 掺 ⿰扌⿳厶大彡
B2F0+5 蝉 ⿰虫⿱丷⿻甲一
B2F0+6 馋 ⿰饣𫥎
B2F0+7 谗 ⿰讠𫥎
B2F0+8 缠 ⿰纟㢆
B2F0+9 铲 ⿰钅⿱⿱亠丷厂
B2F0+A 产 ⿱⿱⿱丶一丷厂
